N,Triton,Torch (native),Torch (compiled)
256.0,585.1,616.8,94.6
384.0,735.0,794.4,127.2
512.0,855.3,907.1,172.2
640.0,978.1,928.3,224.6
768.0,1003.1,986.7,267.0
896.0,1028.6,1025.1,314.1
1024.0,1050.7,1094.5,363.6
1152.0,1077.3,1074.4,385.1
1280.0,1098.7,1132.9,436.0
1408.0,1140.7,1112.5,478.0
1536.0,1139.8,1120.3,500.4
1664.0,1135.2,1156.8,534.0
1792.0,1139.8,1149.0,567.4
1920.0,1164.7,1156.5,618.7
2048.0,1157.4,1180.8,663.4
2176.0,1178.3,1189.0,678.7
2304.0,1198.8,1183.2,730.0
2432.0,1191.0,1191.6,766.5
2560.0,1198.6,1196.7,813.2
2688.0,1207.2,1220.6,853.0
2816.0,1213.1,1214.1,888.5
2944.0,1232.0,1232.0,952.8
3072.0,1234.6,1225.9,992.5
3200.0,1240.3,1244.7,1020.2
3328.0,1234.3,1248.8,1090.9
3456.0,1240.0,1253.2,1129.0
3584.0,1252.6,1257.7,1176.7
3712.0,1256.1,1249.9,1236.5
3840.0,1261.1,1267.4,1259.5
3968.0,1263.4,1256.8,1255.6
4096.0,1254.5,1260.7,1257.7
4224.0,1269.2,1264.4,1272.2
4352.0,1261.7,1269.6,1265.3
4480.0,1275.4,1271.8,1269.2
4608.0,1270.0,1286.4,1281.9
4736.0,1282.0,1288.8,1275.2
4864.0,1275.8,1282.4,1287.0
4992.0,1277.3,1292.2,1280.0
5120.0,1279.7,1286.9,1283.1
5248.0,1290.0,1289.6,1292.1
5376.0,1290.4,1298.4,1294.1
5504.0,1285.9,1292.1,1289.3
5632.0,1287.6,1302.1,1290.5
5760.0,1289.0,1297.7,1293.2
5888.0,1299.4,1301.4,1302.2
6016.0,1302.7,1309.9,1296.9
6144.0,1301.2,1311.5,1306.1
6272.0,1295.6,1312.1,1300.1
6400.0,1298.5,1307.6,1301.7
6528.0,1304.6,1307.6,1302.5
6656.0,1298.0,1315.3,1310.1
6784.0,1308.5,1317.9,1306.3
6912.0,1310.0,1319.0,1313.8
7040.0,1304.6,1320.6,1315.5
7168.0,1311.7,1321.8,1311.7
7296.0,1313.3,1322.8,1318.4
7424.0,1307.6,1324.4,1318.0
7552.0,1314.3,1318.8,1319.7
7680.0,1309.8,1320.8,1321.5
7808.0,1310.9,1327.5,1321.8
7936.0,1312.8,1327.9,1323.1
8064.0,1319.1,1328.6,1318.7
8192.0,1320.0,1325.6,1325.4
8320.0,1316.0,1331.4,1326.4
8448.0,1319.3,1331.7,1321.7
8576.0,1320.0,1327.2,1327.2
8704.0,1321.8,1327.8,1327.3
8832.0,1322.8,1329.2,1328.0
8960.0,1324.6,1335.3,1324.5
9088.0,1325.8,1335.0,1325.8
9216.0,1321.0,1336.7,1326.8
9344.0,1327.1,1333.4,1326.5
9472.0,1326.1,1339.1,1327.9
9600.0,1327.0,1338.0,1328.4
9728.0,1323.4,1339.3,1330.3
9856.0,1324.8,1341.0,1331.3
9984.0,1325.5,1340.8,1334.5
10112.0,1332.2,1340.6,1336.3
10240.0,1328.2,1337.6,1336.1
10368.0,1327.8,1342.7,1332.9
10496.0,1332.8,1338.7,1333.7
10624.0,1329.8,1339.4,1333.9
10752.0,1334.1,1344.0,1334.9
10880.0,1336.0,1338.8,1339.6
11008.0,1332.6,1345.3,1335.3
11136.0,1332.4,1344.2,1334.7
11264.0,1333.4,1341.4,1335.1
11392.0,1335.9,1341.3,1336.4
11520.0,1337.6,1342.5,1340.5
11648.0,1335.8,1346.0,1337.7
11776.0,1340.4,1343.0,1341.3
11904.0,1341.7,1348.0,1338.4
12032.0,1338.4,1344.0,1339.1
12160.0,1342.4,1347.2,1342.7
12288.0,1338.6,1348.7,1343.5
12416.0,1339.7,1348.8,1339.9
12544.0,1342.9,1346.2,1344.3
12672.0,1339.8,1345.8,1341.2
